Date,Death,Infected,I_diff,D_diff,,,,,,,,,,,,,,,,,,,,
1/22/2020,0,0,0,0,,,,,,,,,,,,,,,,,,,,0
1/23/2020,0,0,0,0,,,,,,,,,,,,,,,,,,,,0
1/24/2020,0,0,0,0,,,,,,,,,,,,,,,,,,,,0
1/25/2020,0,0,0,0,,,,,,,,,,,,,,,,,,,,0
1/26/2020,0,0,0,0,,,,,,,,,,,,,,,,,,,,0
1/27/2020,0,0,0,0,,,,,,,,,,,,,,,,,,,,0
1/28/2020,0,0,0,0,,,,,,,,,,,,,,,,,,,,0
1/29/2020,0,0,0,0,,,,,,,,,,,,,,,,,,,,0
1/30/2020,0,0,0,0,,,,,,,,,,,,,,,,,,,,0
1/31/2020,0,0,0,0,,,,,,,,,,,,,,,,,,,,0
2/1/2020,0,0,0,0,,,,,,,,,,,,,,,,,,,,0
2/2/2020,0,0,0,0,,,,,,,,,,,,,,,,,,,,0
2/3/2020,0,0,0,0,,,,,,,,,,,,,,,,,,,,0
2/4/2020,0,0,0,0,,,,,,,,,,,,,,,,,,,,0
2/5/2020,0,0,0,0,,,,,,,,,,,,,,,,,,,,0
2/6/2020,0,0,0,0,,,,,,,,,,,,,,,,,,,,0
2/7/2020,0,0,0,0,,,,,,,,,,,,,,,,,,,,0
2/8/2020,0,0,0,0,,,,,,,,,,,,,,,,,,,,0
2/9/2020,0,0,0,0,,,,,,,,,,,,,,,,,,,,0
2/10/2020,0,0,0,0,,,,,,,,,,,,,,,,,,,,0
2/11/2020,0,0,0,0,,,,,,,,,,,,,,,,,,,,0
2/12/2020,0,0,0,0,,,,,,,,,,,,,,,,,,,,0
2/13/2020,0,0,0,0,,,,,,,,,,,,,,,,,,,,0
2/14/2020,0,0,0,0,,,,,,,,,,,,,,,,,,,,0
2/15/2020,0,0,0,0,,,,,,,,,,,,,,,,,,,,0
2/16/2020,0,0,0,0,,,,,,,,,,,,,,,,,,,,0
2/17/2020,0,0,0,0,,,,,,,,,,,,,,,,,,,,0
2/18/2020,0,0,0,0,,,,,,,,,,,,,,,,,,,,0
2/19/2020,0,0,0,0,,,,,,,,,,,,,,,,,,,,0
2/20/2020,0,0,0,0,,,,,,,,,,,,,,,,,,,,0
2/21/2020,0,0,0,0,,,,,,,,,,,,,,,,,,,,0
2/22/2020,0,0,0,0,,,,,,,,,,,,,,,,,,,,0
2/23/2020,0,0,0,0,,,,,,,,,,,,,,,,,,,,0
2/24/2020,0,0,0,0,,,,,,,,,,,,,,,,,,,,0
2/25/2020,0,0,0,0,,,,,,,,,,,,,,,,,,,,0
2/26/2020,0,0,0,0,,,,,,,,,,,,,,,,,,,,0
2/27/2020,0,0,0,0,,,,,,,,,,,,,,,,,,,,0
2/28/2020,0,0,0,0,,,,,,,,,,,,,,,,,,,,0
2/29/2020,0,0,0,0,,,,,,,,,,,,,,,,,,,,0
3/1/2020,0,0,0,0,,,,,,,,,,,,,,,,,,,,0
3/2/2020,0,0,0,0,,,,,,,,,,,,,,,,,,,,0
3/3/2020,0,0,0,0,,,,,,,,,,,,,,,,,,,,0
3/4/2020,0,0,0,0,,,,,,,,,,,,,,,,,,,,0
3/5/2020,0,0,0,0,,,,,,,,,,,,,,,,,,,,0
3/6/2020,0,0,0,0,,,,,,,,,,,,,,,,,,,,0
3/7/2020,0,0,0,0,,,,,,,,,,,,,,,,,,,,0
3/8/2020,0,0,0,0,,,,,,,,,,,,,,,,,,,,0
3/9/2020,0,0,0,0,,,,,,,,,,,,,,,,,,,,0
3/10/2020,0,0,0,0,,,,,,,,,,,,,,,,,,,,0
3/11/2020,0,0,0,0,,,,,,,,,,,,,,,,,,,,0
3/12/2020,0,0,0,0,,,,,,,,,,,,,,,,,,,,0
3/13/2020,0,0,0,0,,,,,,,,,,,,,,,,,,,,0
3/14/2020,0,0,0,0,,,,,,,,,,,,,,,,,,,,0
3/15/2020,0,0,0,0,,,,,,,,,,,,,,,,,,,,0
3/16/2020,0,2,2,0,,,,,,,,,,,,,,,,,,,,0
3/17/2020,0,4,2,0,,,,,,,,,,,,,,,,,,,,0
3/18/2020,0,4,0,0,,,,,,,,,,,,,,,,,,,,0
3/19/2020,0,13,9,0,,,,,,,,,,,,,,,,,,,,0
3/20/2020,0,15,2,0,,,,,,,,,,,,,,,,,,,,0
3/21/2020,0,15,0,0,,,,,,,,,,,,,,,,,,,,0
3/22/2020,0,21,6,0,,,,,,,,,,,,,,,,,,,,0
3/23/2020,0,29,8,0,,,,,,,,,,,,,,,,,,,,0
3/24/2020,0,29,0,0,,,,,,,,,,,,,,,,,,,,0
3/25/2020,0,38,9,0,,,,,,,,,,,,,,,,,,,,0
3/26/2020,0,41,3,0,,,,,,,,,,,,,,,,,,,,0
3/27/2020,0,50,9,0,,,,,,,,,,,,,,,,,,,,0
3/28/2020,0,73,23,0,,,,,,,,,,,,,,,,,,,,0
3/29/2020,0,99,26,0,,,,,,,,,,,,,,,,,,,,0
3/30/2020,0,105,6,0,,,,,,,,,,,,,,,,,,,,0
3/31/2020,0,136,31,0,,,,,,,,,,,,,,,,,,,,0
4/1/2020,0,153,17,1,1,,,,,,,,,,,,,,,,,,,1
4/2/2020,1,171,18,1,2,,,,,,,,,,,,,,,,,,,2
4/3/2020,1,214,43,0,2,,,,,,,,,,,,,,,,,,,2
4/4/2020,1,234,20,0,2,,,,,,,,,,,,,,,,,,,2
4/5/2020,1,259,25,0,2,,,,,,,,,,,,,,,,,,,2
4/6/2020,2,268,9,1,3,,,,,,,,,,,,,,,,,,,3
4/7/2020,2,296,28,0,3,,,,,,,,,,,,,,,,,,,3
4/8/2020,2,336,40,0,3,,,,,,,,,,,,,,,,,,,3
4/9/2020,2,351,15,0,3,,,,,,,,,,,,,,,,,,,3
4/10/2020,2,374,23,0,3,,,,,,,,,,,,,,,,,,,3
4/11/2020,2,400,26,0,3,,,,,,,,,,,,,,,,,,,3
4/12/2020,2,406,6,0,3,,,,,,,,,,,,,,,,,,,3
4/13/2020,2,411,5,0,3,,,,,,,,,,,,,,,,,,,3
4/14/2020,2,437,26,0,3,,,,,,,,,,,,,,,,,,,3
4/15/2020,2,482,45,0,3,,,,,,,,,,,,,,,,,,,3
4/16/2020,2,514,32,0,3,,,,,,,,,,,,,,,,,,,3
4/17/2020,3,545,31,1,4,,,,,,,,,,,,,,,,,,,4
4/18/2020,3,574,29,0,4,,,,,,,,,,,,,,,,,,,4
4/19/2020,4,592,18,1,5,,,,,,,,,,,,,,,,,,,5
4/20/2020,4,606,14,0,5,,,,,,,,,,,,,,,,,,,5
4/21/2020,4,640,34,0,5,,,,,,,,,,,,,,,,,,,5
4/22/2020,5,660,20,1,6,,,,,,,,,,,,,,,,,,,6
4/23/2020,5,694,34,0,6,,,,,,,,,,,,,,,,,,,6
4/24/2020,6,708,14,1,7,,,,,,,,,,,,,,,,,,,7
4/25/2020,7,722,14,1,8,,,,,,,,,,,,,,,,,,,8
4/26/2020,7,722,0,0,8,,,,,,,,,,,,,,,,,,,8
4/27/2020,7,725,3,0,8,,,,,,,,,,,,,,,,,,,8
4/28/2020,7,728,3,0,8,,,,,,,,,,,,,,,,,,,8
4/29/2020,8,746,18,1,9,,,,,,,,,,,,,,,,,,,9
4/30/2020,8,746,0,0,9,,,,,,,,,,,,,,,,,,,9
5/1/2020,8,778,32,0,9,,,,,,,,,,,,,,,,,,,9
5/2/2020,8,778,0,0,9,,,,,,,,,,,,,,,,,,,9
5/3/2020,8,790,12,0,9,,,,,,,,,,,,,,,,,,,9
5/4/2020,8,790,0,0,9,,,,,,,,,,,,,,,,,,,9
5/5/2020,8,808,18,0,9,,,,,,,,,,,,,,,,,,,9
5/6/2020,9,942,134,1,10,,,,,,,,,,,,,,,,,,,10
5/7/2020,9,942,0,0,10,,,,,,,,,,,,,,,,,,,10
5/8/2020,10,1110,168,1,11,,,,,,,,,,,,,,,,,,,11
5/9/2020,11,1250,140,1,12,,,,,,,,,,,,,,,,,,,12
5/10/2020,11,1250,0,0,12,,,,,,,,,,,,,,,,,,,12
5/11/2020,11,1362,112,0,12,,,,,,,,,,,,,,,,,,,12
5/12/2020,11,1371,9,0,12,,,,,,,,,,,,,,,,,,,12
5/13/2020,11,1371,0,0,12,,,,,,,,,,,,,,,,,,,12
5/14/2020,11,1387,16,0,12,,,,,,,,,,,,,,,,,,,12
5/15/2020,11,1387,0,0,12,,,,,,,,,,,,,,,,,,,12
5/16/2020,11,1418,31,0,12,,,,,,,,,,,,,,,,,,,12
5/17/2020,11,1474,56,0,12,,,,,,,,,,,,,,,,,,,12
5/18/2020,11,1474,0,0,12,,,,,,,,,,,,,,,,,,,12
5/19/2020,11,1517,43,0,12,,,,,,,,,,,,,,,,,,,12
5/20/2020,11,1520,3,0,12,,,,,,,,,,,,,,,,,,,12
5/21/2020,11,1520,0,0,12,,,,,,,,,,,,,,,,,,,12
5/22/2020,11,1540,20,0,12,,,,,,,,,,,,,,,,,,,12
5/23/2020,12,1551,11,1,13,,,,,,,,,,,,,,,,,,,13
5/24/2020,12,1551,0,0,13,,,,,,,,,,,,,,,,,,,13
5/25/2020,12,1551,0,0,13,,,,,,,,,,,,,,,,,,,13
5/26/2020,12,1551,0,0,13,,,,,,,,,,,,,,,,,,,13
5/27/2020,12,1604,53,0,13,,,,,,,,,,,,,,,,,,,13
5/28/2020,12,1636,32,0,13,,,,,,,,,,,,,,,,,,,13
5/29/2020,12,1636,0,0,13,,,,,,,,,,,,,,,,,,,13
5/30/2020,12,1649,13,0,13,,,,,,,,,,,,,,,,,,,13
5/31/2020,12,1649,0,0,13,,,,,,,,,,,,,,,,,,,13
6/1/2020,12,1649,0,0,13,,,,,,,,,,,,,,,,,,,13
6/2/2020,12,1669,20,0,13,,,,,,,,,,,,,,,,,,,13
6/3/2020,14,1697,28,2,15,,,,,,,,,,,,,,,,,,,15
6/4/2020,14,1714,17,0,15,,,,,,,,,,,,,,,,,,,15
6/5/2020,14,1737,23,0,15,,,,,,,,,,,,,,,,,,,15
6/6/2020,15,1787,50,1,16,,,,,,,,,,,,,,,,,,,16
6/7/2020,15,1787,0,0,16,,,,,,,,,,,,,,,,,,,16
6/8/2020,15,1817,30,0,16,,,,,,,,,,,,,,,,,,,16
6/9/2020,15,1817,0,0,16,,,,,,,,,,,,,,,,,,,16
6/10/2020,16,1864,47,1,17,,,,,,,,,,,,,,,,,,,17
6/11/2020,16,1910,46,0,17,,,,,,,,,,,,,,,,,,,17
6/12/2020,16,1910,0,0,17,,,,,,,,,,,,,,,,,,,17
6/13/2020,18,1971,61,2,19,,,,,,,,,,,,,,,,,,,19
6/14/2020,18,1971,0,0,19,,,,,,,,,,,,,,,,,,,19
6/15/2020,18,2069,98,1,19,20,,,,,,,,,,,,,,,,,,20
6/16/2020,22,2115,46,4,23,24,,,,,,,,,,,,,,,,,,24
6/17/2020,22,2115,0,0,23,24,,,,,,,,,,,,,,,,,,24
6/18/2020,22,2253,138,0,23,24,,,,,,,,,,,,,,,,,,24
6/19/2020,22,2319,66,0,23,24,,,,,,,,,,,,,,,,,,24
6/20/2020,22,2319,0,0,23,24,,,,,,,,,,,,,,,,,,24
6/21/2020,22,2319,0,0,23,24,,,,,,,,,,,,,,,,,,24
6/22/2020,27,2446,127,6,28,29,30,,,,,,,,,,,,,,,,,30
6/23/2020,27,2509,63,0,28,29,30,,,,,,,,,,,,,,,,,30
6/24/2020,27,2590,81,0,28,29,30,,,,,,,,,,,,,,,,,30
6/25/2020,28,2631,41,1,29,30,31,,,,,,,,,,,,,,,,,31
6/26/2020,28,2631,0,0,29,30,31,,,,,,,,,,,,,,,,,31
6/27/2020,28,2712,81,0,29,30,31,,,,,,,,,,,,,,,,,31
6/28/2020,28,2712,0,0,29,30,31,,,,,,,,,,,,,,,,,31
6/29/2020,29,2896,184,2,30,31,32,33,,,,,,,,,,,,,,,,33
6/30/2020,29,2896,0,0,30,31,32,33,,,,,,,,,,,,,,,,33
7/1/2020,29,2896,0,1,30,31,32,33,34,,,,,,,,,,,,,,,34
7/2/2020,29,3261,365,0,30,31,32,33,34,,,,,,,,,,,,,,,34
7/3/2020,29,3261,0,0,30,31,32,33,34,,,,,,,,,,,,,,,34
7/4/2020,29,3261,0,2,30,31,32,33,34,36,,,,,,,,,,,,,,36
7/5/2020,29,3261,0,0,30,31,32,33,34,36,,,,,,,,,,,,,,36
7/6/2020,29,3261,0,2,30,31,32,33,34,36,38,,,,,,,,,,,,,38
7/7/2020,29,3742,481,0,30,31,32,33,34,36,38,,,,,,,,,,,,,38
7/8/2020,29,3808,66,1,30,31,32,33,34,36,38,39,,,,,,,,,,,,39
7/9/2020,29,3868,60,1,30,31,32,33,34,36,38,39,40,,,,,,,,,,,40
7/10/2020,29,3868,0,0,30,31,32,33,34,36,38,39,40,,,,,,,,,,,40
7/11/2020,31,3931,63,2,32,33,34,35,36,38,40,41,42,,,,,,,,,,,42
7/12/2020,31,3931,0,1,32,33,34,35,36,38,40,41,42,43,,,,,,,,,,43
7/13/2020,31,3931,0,0,32,33,34,35,36,38,40,41,42,43,,,,,,,,,,43
7/14/2020,31,4323,392,2,32,33,34,35,36,38,40,41,42,43,45,,,,,,,,,45
7/15/2020,32,4412,89,3,33,34,35,36,37,39,41,42,43,44,46,48,,,,,,,,48
7/16/2020,32,4635,223,0,33,34,35,36,37,39,41,42,43,44,46,48,,,,,,,,48
7/17/2020,32,4759,124,0,33,34,35,36,37,39,41,42,43,44,46,48,,,,,,,,48
7/18/2020,32,4759,0,2,33,34,35,36,37,39,41,42,43,44,46,48,50,,,,,,,50
7/19/2020,32,4759,0,0,33,34,35,36,37,39,41,42,43,44,46,48,50,,,,,,,50
7/20/2020,32,4991,232,4,33,34,35,36,37,39,41,42,43,44,46,48,50,54,,,,,,54
7/21/2020,32,5124,133,1,33,34,35,36,37,39,41,42,43,44,46,48,50,54,55,,,,,55
7/22/2020,32,5282,158,0,33,34,35,36,37,39,41,42,43,44,46,48,50,54,55,,,,,55
7/23/2020,32,5444,162,1,33,34,35,36,37,39,41,42,43,44,46,48,50,54,55,56,,,,56
7/24/2020,32,5576,132,1,33,34,35,36,37,39,41,42,43,44,46,48,50,54,55,56,57,,,57
7/25/2020,32,5576,0,2,33,34,35,36,37,39,41,42,43,44,46,48,50,54,55,56,57,59,,59
7/26/2020,32,5576,0,0,33,34,35,36,37,39,41,42,43,44,46,48,50,54,55,56,57,59,,59
7/27/2020,32,5576,0,1,33,34,35,36,37,39,41,42,43,44,46,48,50,54,55,56,57,59,60,60
7/28/2020,32,5633,57,0,33,34,35,36,37,39,41,42,43,44,46,48,50,54,55,56,57,59,60,60
7/29/2020,32,6021,388,0,33,34,35,36,37,39,41,42,43,44,46,48,50,54,55,56,57,59,60,60
7/30/2020,32,6094,73,0,33,34,35,36,37,39,41,42,43,44,46,48,50,54,55,56,57,59,60,60
7/31/2020,60,6167,73,3,36,37,38,39,40,42,44,45,46,47,49,51,53,57,58,59,60,62,63,63
8/1/2020,60,6167,0,0,36,37,38,39,40,42,44,45,46,47,49,51,53,57,58,59,60,62,63,63
8/2/2020,60,6167,0,0,36,37,38,39,40,42,44,45,46,47,49,51,53,57,58,59,60,62,63,63
8/3/2020,60,6167,0,0,36,37,38,39,40,42,44,45,46,47,49,51,53,57,58,59,60,62,63,63
8/4/2020,63,6526,359,3,39,40,41,42,43,45,47,48,49,50,52,54,56,60,61,62,63,65,66,66
8/5/2020,64,6526,0,1,40,41,42,43,44,46,48,49,50,51,53,55,57,61,62,63,64,66,67,67
8/6/2020,68,6652,126,4,44,45,46,47,48,50,52,53,54,55,57,59,61,65,66,67,68,70,71,71
8/7/2020,68,6652,0,0,44,45,46,47,48,50,52,53,54,55,57,59,61,65,66,67,68,70,71,71
8/8/2020,69,6704,52,1,45,46,47,48,49,51,53,54,55,56,58,60,62,66,67,68,69,71,72,72
8/9/2020,69,6704,0,0,45,46,47,48,49,51,53,54,55,56,58,60,62,66,67,68,69,71,72,72
8/10/2020,69,6704,0,0,45,46,47,48,49,51,53,54,55,56,58,60,62,66,67,68,69,71,72,72
8/11/2020,72,6996,292,3,48,49,50,51,52,54,56,57,58,59,61,63,65,69,70,71,72,74,75,75
8/12/2020,73,7074,78,1,49,50,51,52,53,55,57,58,59,60,62,64,66,70,71,72,73,75,76,76
8/13/2020,73,7083,9,0,49,50,51,52,53,55,57,58,59,60,62,64,66,70,71,72,73,75,76,76
8/14/2020,77,7274,191,4,53,54,55,56,57,59,61,62,63,64,66,68,70,74,75,76,77,79,80,80
8/15/2020,77,7274,0,0,53,54,55,56,57,59,61,62,63,64,66,68,70,74,75,76,77,79,80,80
8/16/2020,77,7274,0,0,53,54,55,56,57,59,61,62,63,64,66,68,70,74,75,76,77,79,80,80
8/17/2020,77,7274,0,0,53,54,55,56,57,59,61,62,63,64,66,68,70,74,75,76,77,79,80,80
8/18/2020,80,7454,180,3,56,57,58,59,60,62,64,65,66,67,69,71,73,77,78,79,80,82,83,83
8/19/2020,82,7508,54,2,58,59,60,61,62,64,66,67,68,69,71,73,75,79,80,81,82,84,85,85
8/20/2020,82,7508,0,0,58,59,60,61,62,64,66,67,68,69,71,73,75,79,80,81,82,84,85,85
8/21/2020,84,7578,70,2,60,61,62,63,64,66,68,69,70,71,73,75,77,81,82,83,84,86,87,87
8/22/2020,87,7653,75,3,63,64,65,66,67,69,71,72,73,74,76,78,80,84,85,86,87,89,90,90
8/23/2020,87,7685,32,0,63,64,65,66,67,69,71,72,73,74,76,78,80,84,85,86,87,89,90,90
8/24/2020,87,7725,40,0,63,64,65,66,67,69,71,72,73,74,76,78,80,84,85,86,87,89,90,90
8/25/2020,88,7800,75,1,64,65,66,67,68,70,72,73,74,75,77,79,81,85,86,87,88,90,91,91
,,,,91,,,,,,,,,,,,,,,,,,2,3,
,,,,,,,,,,,,,,,,,,,,,,2,3,
,,,,,,,,,,,,,,,,,,,,,,2,3,
